X,P1,P2,P3,P4,P5
5.820611209999999573e+02,7.407570800781250000e+02,1.501343872070312500e+03,2.089498138427734375e+02,4.140333251953125000e+02,1.505557006835937500e+03
5.856998059999999668e+02,7.324732055664062500e+02,1.480451416015625000e+03,1.809436187744140625e+02,3.895794372558593750e+02,1.494097290039062500e+03
5.893384909999999763e+02,6.693461914062500000e+02,1.397543579101562500e+03,1.748132171630859375e+02,3.515978698730468750e+02,1.412712890625000000e+03
5.929771759999999858e+02,6.882457275390625000e+02,1.401444824218750000e+03,1.693960723876953125e+02,3.617925415039062500e+02,1.446055541992187500e+03
5.966158599999999979e+02,6.941149291992187500e+02,1.432796142578125000e+03,1.668524322509765625e+02,3.545744628906250000e+02,1.425578369140625000e+03
6.002545450000000073e+02,7.020255126953125000e+02,1.448958618164062500e+03,1.621743469238281250e+02,3.460198974609375000e+02,1.443444946289062500e+03
6.038932300000000168e+02,7.256681518554687500e+02,1.495325439453125000e+03,1.618290405273437500e+02,3.565876464843750000e+02,1.459561645507812500e+03
6.075319150000000263e+02,7.196608886718750000e+02,1.498294921875000000e+03,1.535166320800781250e+02,3.426582946777343750e+02,1.469482421875000000e+03
6.111705990000000384e+02,7.203782348632812500e+02,1.495890502929687500e+03,1.476379699707031250e+02,3.218973999023437500e+02,1.455621704101562500e+03
6.148092840000000479e+02,7.119232788085937500e+02,1.478094116210937500e+03,1.343976287841796875e+02,3.091495971679687500e+02,1.450103637695312500e+03
6.184479689999999437e+02,7.143129272460937500e+02,1.494600585937500000e+03,1.281963195800781250e+02,3.111459655761718750e+02,1.448731689453125000e+03
6.220866539999999532e+02,7.116400146484375000e+02,1.477837524414062500e+03,1.181701354980468750e+02,2.976974182128906250e+02,1.424935546875000000e+03
6.257253379999999652e+02,6.802320556640625000e+02,1.442143310546875000e+03,1.190520706176757812e+02,2.780468139648437500e+02,1.400937622070312500e+03
6.293640229999999747e+02,6.770909423828125000e+02,1.399700195312500000e+03,1.149410247802734375e+02,2.808241271972656250e+02,1.348145263671875000e+03
6.330027079999999842e+02,7.045951538085937500e+02,1.422956054687500000e+03,1.128610687255859375e+02,2.788661193847656250e+02,1.387957885742187500e+03
6.366413929999999937e+02,7.106684570312500000e+02,1.497967041015625000e+03,1.147367553710937500e+02,2.795774536132812500e+02,1.372169677734375000e+03
6.402800780000000032e+02,7.002034301757812500e+02,1.457918945312500000e+03,1.044119796752929688e+02,2.618693847656250000e+02,1.378480712890625000e+03
6.439187620000000152e+02,6.992359008789062500e+02,1.460765747070312500e+03,1.005391464233398438e+02,2.456513824462890625e+02,1.369333251953125000e+03
6.475574470000000247e+02,6.801994628906250000e+02,1.439137084960937500e+03,9.437128448486328125e+01,2.415308532714843750e+02,1.357870117187500000e+03
6.511961320000000342e+02,6.836499633789062500e+02,1.418149169921875000e+03,8.988600921630859375e+01,2.224179534912109375e+02,1.362804809570312500e+03
