x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59
350,0.0111031197,0,0116981193,0.0117436385,0.0125281256,0.0121901862,0.0109692032,0.010707424,0.0105383007,0.01301274,0.0120683763,0.0118704317,0.0121117463,0.0114364753,0.0112783311,0.0116478674,0.010392282,0.0103712834,0.0088199796,0.016589551,0.013036737,0.0124049433,0.0124278789,0.0133943176,0.0130134759,0.0126238558,0.0151705138,0.0132674085,0.0130596336,0.0150249792,0.0175355963,0.0157295726,0.0146454476,0.0147101283,0.0187070183,0.0153827146,0.0144486891,0.0131843647,0.0114960421,0.012538825,0.0091346465,0.0107122602,0.0133877333,0.0129496496,0.0121023893,0.0111100361,0.0127866799,0.0129035758,0.0139050441,0.0124232933,0.0132310577,0.0122967983,0.0109410929,0.0126997193,0.016957383,0.0153318997,0.0130917177,0.0135387147,0.0102262093,0.0164263789
351,0.0107371362,0.0113368627,0.0114416672,0.012398077,0.011790107,0.0105169712,0.0102881359,0.0102365168,0.0129708352,0.0122073362,0.011571468,0.0118463458,0.0113561155,0.0113435974,0.0117671331,0.0104460079,0.0104346801,0.0089016611,0.0167095091,0.0130472245,0.0123874974,0.0125532905,0.0135202568,0.0131842008,0.0127034856,0.0153499039,0.0134015214,0.0132183591,0.0151394282,0.017672709,0.0159535047,0.0148092357,0.0148265554,0.018806209,0.0155654818,0.0145965852,0.0130927231,0.0116174167,0.0126734637,0.0093830282,0.0108447528,0.0133960325,0.0129760966,0.01204855,0.011237682,0.0129208928,0.0130004419,0.013815508,0.0122546762,0.0131751442,0.0121208029,0.0108180666,0.0125269135,0.0167571811,0.0152366601,0.0128892165,0.0132230075,0.0097062724,0.0157947335
352,0.0105729448,0.0111945735,0.011346776,0.0122943345,0.0116143622,0.0103647478,0.0101537202,0.0101165252,0.0128238978,0.0122817973,0.01139483,0.0116704781,0.0112144789,0.01127636,0.0117074097,0.0104100451,0.0103346795,0.0088269535,0.0166505605,0.0129893944,0.0122685537,0.0125016859,0.0133426942,0.0130325694,0.0125412231,0.0151637692,0.0131951239,0.0130014975,0.0149428865,0.0174264517,0.0156821761,0.0147901418,0.0149936739,0.0189219762,0.0157638537,0.0147369439,0.0131771935,0.0117968729,0.0128148673,0.0094838345,0.0110281395,0.0134248473,0.0130139746,0.0120432302,0.0113053652,0.0130368944,0.0130669819,0.0136948863,0.0120543342,0.0130422691,0.0119084369,0.0106200261,0.0123308539,0.016591893,0.0150774723,0.0126931546,0.0130028088,0.0094691789,0.0155830432
353,0.010623667,0.0112737184,0.0114506265,0.0122406926,0.0116856022,0.0105105605,0.0102882573,0.0101735385,0.0126120055,0.0122926973,0.01135465,0.0116043396,0.0110499006,0.0111033566,0.011510611,0.0103105793,0.0101069352,0.0086356465,0.0164499242,0.0128859345,0.012085782,0.0123055952,0.0129579008,0.0126484746,0.0122161422,0.0147197818,0.0127577957,0.0125312071,0.0145373946,0.0169253111,0.0150734458,0.0146434637,0.0151955221,0.0190529443,0.0159548601,0.0148663122,0.0134174837,0.0120043252,0.0129531452,0.0094481481,0.0112253124,0.0134637134,0.0130524341,0.0120804211,0.0113040203,0.0131137468,0.01308119,0.0135754064,0.0118591603,0.0128700653,0.0117131788,0.0103936765,0.0121588448,0.0164887056,0.0148893809,0.0125527386,0.0129167208,0.0095110886,0.0157525808
354,0.0108659199,0.011502775,0.0116598712,0.0125159806,0.0120389141,0.0106825426,0.0104619293,0.0103343265,0.0126044277,0.0123667993,0.0115549991,0.0118250819,0.0111388545,0.0110007098,0.0115323605,0.0103351787,0.0100866793,0.0086548384,0.0164455373,0.0129312782,0.0121169906,0.0122887906,0.0129364086,0.0126358021,0.0121814108,0.0147402856,0.0127902551,0.0126060134,0.0145282483,0.0169233628,0.015261016,0.0148135895,0.0152768459,0.0192623969,0.0159556717,0.015072302,0.0135386985,0.0120246803,0.012984902,0.0095049309,0.0111518048,0.0134678081,0.013091642,0.0121047858,0.0113469182,0.0131103152,0.0130525304,0.0138021937,0.0120826745,0.0131267393,0.0120582584,0.0105900172,0.0124574322,0.0166990645,0.01511967,0.0128334528,0.013257988,0.0091411194,0.0152699005
355,0.0112219565,0.0118224734,0.0118322695,0.0127721401,0.0123349415,0.0109386109,0.0106451703,0.010601435,0.0128439829,0.0123917181,0.0117102962,0.0120389925,0.0113507042,0.011182877,0.0117860362,0.0105130227,0.0102860162,0.0088986238,0.0166244667,0.0130529994,0.0123251667,0.0125566076,0.0132996583,0.013046081,0.0125292554,0.0151403012,0.0131789107,0.0129692039,0.0149200611,0.0173214834,0.0156388626,0.0149029948,0.0152320556,0.019187144,0.0158882268,0.0149721285,0.0134498931,0.0119637895,0.0128946006,0.009465709,0.0111230919,0.0135009224,0.0132023202,0.0122313509,0.0114125952,0.0131824864,0.0131644331,0.0139089104,0.0122550318,0.0132378951,0.0122377709,0.0107435016,0.0126276297,0.0168519802,0.0152728977,0.0130236261,0.0133470271,0.0094361957,0.0156826749
356,0.0115017176,0.0120848536,0.0119690925,0.0129672935,0.0125032268,0.0111467037,0.0108116532,0.010841562,0.0131467924,0.0123100763,0.0118324237,0.012245954,0.0115922019,0.0114635911,0.0121042402,0.0107411517,0.0105370818,0.0091843236,0.0168682959,0.0132456081,0.0126171252,0.0128696086,0.0136126397,0.0133540118,0.0128175393,0.0154721139,0.0134340823,0.0132365974,0.0152249569,0.017657866,0.0158789597,0.0148800373,0.0150485588,0.0189686598,0.0157312483,0.0147369059,0.0132483056,0.0117989382,0.0127069583,0.0092956368,0.0110300627,0.0135094311,0.0132249938,0.0122975497,0.0114164686,0.0132216265,0.0132441765,0.0139111048,0.0123804672,0.0132845543,0.0123392865,0.0108323485,0.0127200842,0.01692934,0.0153573686,0.0131210437,0.0133510858,0.0096546713,0.016040276
357,0.011438681,0.0120845504,0.0120572867,0.0130236585,0.0123963695,0.0111244941,0.0109244265,0.0108822128,0.013323671,0.0119951826,0.0119226001,0.0124473266,0.0117683321,0.0116681118,0.0123192428,0.0109224387,0.0106636686,0.0093132025,0.0170684773,0.0135421911,0.0129260916,0.0129608922,0.0133179277,0.0128638584,0.0124747396,0.0151539644,0.0128872922,0.0128898252,0.0148013076,0.0173366334,0.0155108308,0.0146484578,0.014636633,0.0187052947,0.015409652,0.0145055152,0.0129931554,0.0114458002,0.0123993315,0.0088816455,0.0107028879,0.0134146785,0.0129182249,0.0120730089,0.0112226816,0.0130773596,0.0130633192,0.0137753416,0.0124431107,0.0133355686,0.0124340853,0.0107987272,0.0127602328,0.0168721074,0.0153503846,0.0130781082,0.0134347156,0.0088442167,0.015145807
358,0.0115203114,0.0122173898,0.0122481337,0.0131310627,0.0125533624,0.0112120813,0.0109315062,0.0108721886,0.0131263146,0.0122023659,0.0119638434,0.0124586675,0.0115993995,0.011484357,0.0119673816,0.01070597,0.010465711,0.0091481231,0.0169259693,0.013357175,0.0126544595,0.0127680684,0.0130600043,0.0127892928,0.0122694535,0.0150563303,0.0128474755,0.0126570351,0.0146780193,0.0172185738,0.0154585587,0.0146784112,0.0148918476,0.0189013164,0.015647858,0.0147590857,0.0132671425,0.0116284819,0.0126277525,0.0091258626,0.0109011881,0.0135006178,0.0130518889,0.0121993149,0.0112965671,0.0131834893,0.0131353598,0.0137999484,0.012344482,0.0132879552,0.012216565,0.0108000893,0.0125962032,0.0169214688,0.0154338976,0.0130115772,0.0132849144,0.0093533223,0.0156368712
359,0.0117002912,0.0123283567,0.0124028895,0.0132458797,0.0127622012,0.011297887,0.0110227987,0.0109648578,0.0130403485,0.0123232173,0.0120368877,0.0125290724,0.0116015468,0.0114902496,0.0118695697,0.0106753482,0.0104715003,0.0091631303,0.0169703409,0.0133588566,0.0126198653,0.0127654597,0.0129665174,0.0127565848,0.0121834191,0.0150480287,0.0128336357,0.0125263501,0.0146107165,0.0172148388,0.0154155193,0.0147042233,0.0150235798,0.0190078394,0.0157789238,0.0148942554,0.013398557,0.0116855215,0.0126972273,0.0092641283,0.0109647768,0.0135742106,0.013210606,0.0122720417,0.0113734007,0.0132594999,0.0131820744,0.0138386117,0.0122660479,0.0132667657,0.0120930342,0.0107814148,0.0124987833,0.0169594605,0.0154687401,0.0129345749,0.0132053489,0.0095442094,0.0158551797
360,0.0119709667,0.0123772029,0.0124834893,0.0133563254,0.0129722025,0.0113532668,0.0112483636,0.0112027399,0.0131923383,0.012203767,0.0121607551,0.012721293,0.0119089523,0.0118350785,0.0122410204,0.0109821063,0.0108205806,0.009482942,0.0173397399,0.0137193803,0.013035032,0.0130802015,0.013084597,0.0126813114,0.0122255463,0.0151081288,0.0127349518,0.0125075649,0.0145479435,0.0173158143,0.0153117171,0.0146635454,0.0148325719,0.0188863695,0.0156336963,0.0147571402,0.013215211,0.0114496341,0.0124303235,0.0091034709,0.0107241714,0.0135875873,0.0132938847,0.0121896995,0.0113891644,0.0132353347,0.0131352171,0.0138557678,0.0122528048,0.0133028945,0.0121684952,0.0107259439,0.0125377744,0.0169539874,0.0154167689,0.012848849,0.0132733731,0.0089994362,0.0153816579
361,0.0117283817,0.012312223,0.012348735,0.0132261682,0.0127876243,0.0112478945,0.0110840756,0.0110517735,0.0131891778,0.0123021852,0.0118922623,0.012545882,0.0115563273,0.0113619046,0.0119363967,0.0106028959,0.0104857301,0.0091564745,0.0169675596,0.0133421442,0.0127067966,0.0129123803,0.0134923864,0.0130761685,0.0126973156,0.0155944116,0.0132303104,0.0130140238,0.0149631778,0.0177269969,0.0157293614,0.0149436474,0.0151152097,0.0190950861,0.0157910634,0.0149635948,0.0134285128,0.0117704954,0.0127874991,0.0092504065,0.0108593687,0.0136221034,0.0132664524,0.0123098634,0.0114558401,0.0133108642,0.0132939545,0.0137880987,0.0121467091,0.0131407015,0.0120251138,0.0105363915,0.0123928444,0.0167272476,0.0153637482,0.0127561647,0.0130592875,0.0094839664,0.0158957835
362,0.0115236228,0.0121246519,0.0121753542,0.013050269,0.0125719838,0.0110216659,0.010883078,0.010874773,0.0131416576,0.01244708,0.0118277276,0.0122947026,0.0113315493,0.0111856818,0.0117383786,0.010434901,0.0102740671,0.0089542722,0.0168160543,0.0131370483,0.0125221139,0.0128005773,0.0136072088,0.0132325249,0.0128439629,0.0156701347,0.0133788189,0.0131031133,0.0150866587,0.0177904896,0.0158604288,0.0150673306,0.0152919764,0.0192467192,0.015934334,0.0151232818,0.0136083653,0.0119492998,0.0129700014,0.0093200231,0.0109823694,0.013583535,0.0132204136,0.0122681454,0.0114476681,0.0132790679,0.0132702528,0.013858249,0.0123504994,0.0133767063,0.0122591287,0.0107963845,0.0126152033,0.0169536715,0.0155702861,0.0130245313,0.01325975,0.0093231499,0.015631216
363,0.0113987384,0.0119155105,0.0120144716,0.0128993569,0.0123915045,0.0107903475,0.0107080229,0.0107230505,0.0130793942,0.0126106823,0.0119035503,0.0120671211,0.0112172037,0.0111869479,0.0116430726,0.0103907429,0.0101579372,0.0088231469,0.0168171741,0.0130591147,0.0124434497,0.0127318487,0.0135455763,0.0132433096,0.012802439,0.015538545,0.0133128922,0.0129740326,0.0150403846,0.017688309,0.0158346318,0.0151224589,0.0154227544,0.0193835581,0.0160853816,0.0152431838,0.0137704782,0.0120238755,0.0130434241,0.0093591163,0.0111069361,0.0135884818,0.0132376971,0.0122351509,0.0114830352,0.0132664815,0.0132376453,0.0140495706,0.0127089463,0.0138083998,0.0126877369,0.0112799713,0.0130289182,0.0174220962,0.0159192551,0.0134641238,0.0136832666,0.0089194229,0.0150926201
364,0.0115327228,0.0119915357,0.0120339703,0.0130115896,0.0124752996,0.0109171135,0.010771299,0.0107727475,0.0130871076,0.0127181182,0.0119991757,0.0121906772,0.0112192361,0.0110857291,0.0116957048,0.0102611769,0.0101016948,0.0086309578,0.0168414295,0.0130363515,0.0124103764,0.0126882434,0.0135769509,0.0133216023,0.0129012534,0.0157281747,0.0133306921,0.0131360054,0.0151156019,0.0179057516,0.0159758609,0.0153520806,0.0156754626,0.0196354484,0.016322062,0.0153249636,0.0139582608,0.0120562054,0.0131559402,0.0095007522,0.0112806844,0.0140360327,0.0136181116,0.0127619086,0.0119674407,0.0136894844,0.0137462772,0.0143831892,0.0128219303,0.0139094822,0.0128471676,0.0114030378,0.0131900519,0.0176062977,0.0161254475,0.0135752203,0.013854689,0.0094137631,0.0157286311
365,0.011840876,0.0122683836,0.0123323549,0.0132533371,0.0128114723,0.0113110935,0.0109863371,0.010983132,0.0132558607,0.0128300358,0.0122264272,0.0124556219,0.0114952356,0.0112875236,0.0119200818,0.0104622833,0.0102823159,0.0089187769,0.0171547841,0.0132086236,0.0126762692,0.0128244054,0.0136483867,0.0133366266,0.0129324764,0.0157804044,0.0133503186,0.0132133188,0.0151154116,0.0180662651,0.0160544241,0.0153829716,0.0156687252,0.019760537,0.0164082769,0.0153980961,0.0139912555,0.0120149067,0.0132027993,0.0095155407,0.0112532167,0.0139641246,0.0135222904,0.0126859931,0.0118080785,0.0136331186,0.0136384439,0.0143345002,0.0128950162,0.0139004344,0.0128500272,0.0114286233,0.0131792787,0.0177458478,0.0162548762,0.0135991666,0.0138550634,0.009236094,0.0155808488
366,0.0120377272,0.0124354171,0.0125513546,0.0134001605,0.0130139215,0.0115499854,0.0111001968,0.0111201661,0.0133936508,0.0129436504,0.0123253521,0.0126290627,0.0116571823,0.0113737883,0.0120041141,0.0105451483,0.0103611577,0.0091121707,0.0172719415,0.013278964,0.0128083248,0.0129179878,0.0137514209,0.0134319296,0.0130033312,0.0158429164,0.0134564182,0.0132812193,0.0152140381,0.0182072613,0.0161683703,0.0154437829,0.0156903375,0.0199098436,0.0165115066,0.0155218922,0.0140444987,0.0120746899,0.0132791672,0.0095598966,0.0112398604,0.0138984531,0.0134650018,0.0125927197,0.0116938012,0.0136153912,0.0135158315,0.0142736249,0.0129197748,0.0139029508,0.012824286,0.0114235187,0.0131382769,0.0178112281,0.0163197765,0.0136199716,0.0138525423,0.008959223,0.0153301485
367,0.0119064234,0.0122599563,0.0124377158,0.0132791745,0.0127942856,0.0113157028,0.0109195625,0.0110115813,0.0133682851,0.0130580964,0.0120893631,0.0125339393,0.0114210883,0.0110399563,0.0117036816,0.0101848422,0.0100892231,0.0088138578,0.016820183,0.0130250175,0.0124873117,0.0128134115,0.0138911409,0.0137256231,0.0131955838,0.0160140926,0.0137313044,0.0133853491,0.0155551935,0.0183472265,0.0163924288,0.0156910611,0.0159340842,0.0201885998,0.0167450707,0.0157509869,0.0142369723,0.0123799527,0.013455794,0.0097437628,0.0113831408,0.0141777549,0.0137882227,0.0128514895,0.0120800706,0.0139805077,0.0137590587,0.0144337587,0.0128755672,0.0139988875,0.0128429918,0.0114208834,0.0131483246,0.0177602163,0.0163078036,0.0136906896,0.0139542233,0.0089182146,0.0153797984
368,0.0123483077,0.0127285793,0.0128458938,0.0137741257,0.0132278651,0.0117218729,0.0113713587,0.011467245,0.0135576347,0.0131026398,0.0123592185,0.012891989,0.0117019586,0.0113906851,0.01204581,0.0104168093,0.0103385037,0.0091043916,0.0171346065,0.0133879915,0.0127527926,0.0129744589,0.0140920982,0.013850666,0.0133698937,0.0163435344,0.0138467371,0.0135658402,0.0156801166,0.018577994,0.0165565159,0.0157475326,0.0159407681,0.0201853402,0.0167718036,0.0157379758,0.014368384,0.0124113781,0.0134409182,0.0097990641,0.0114546789,0.0142867807,0.013942964,0.0130670175,0.0122466698,0.014149669,0.0139903072,0.014507848,0.0129073281,0.0140006803,0.0129540091,0.0113969021,0.0131875789,0.0177676015,0.016349699,0.0136609647,0.0139426809,0.0090728227,0.0155555816
369,0.0124040876,0.0128476866,0.0128594445,0.0139289804,0.0133289142,0.0117211282,0.011452415,0.0115305394,0.0136224538,0.01309982,0.0124105603,0.0129479723,0.01172863,0.0114818858,0.0122178754,0.0105689473,0.0104883701,0.0092314094,0.0173072569,0.0135645228,0.0128327584,0.0130133867,0.0140579144,0.0138093237,0.013364326,0.0164113564,0.0138063859,0.0136043653,0.0156327903,0.0185944345,0.016564258,0.015747726,0.0159814717,0.0202002339,0.016785649,0.0157200232,0.014411117,0.0124116931,0.013444349,0.0097348023,0.0114474686,0.0142905574,0.0139275087,0.0130842939,0.0122285306,0.0141323501,0.0140227372,0.0145198163,0.0129078215,0.013936463,0.012957181,0.0113703115,0.0131609453,0.0178078506,0.0163478261,0.0135804538,0.0138830334,0.0093456194,0.0158749733
370,0.0120705208,0.0125958381,0.0124925282,0.0137219656,0.013081255,0.0113160335,0.0111430196,0.0111970138,0.0135613561,0.013053865,0.0122299753,0.0126933927,0.0114970151,0.0112952465,0.0121757928,0.0105988713,0.0105006311,0.0091655806,0.0172981087,0.0135229919,0.0127145691,0.0129342198,0.0137963541,0.0136179706,0.0131800527,0.0162095891,0.0136229381,0.0134833677,0.0154308192,0.0183927141,0.0164183022,0.0157017617,0.0160509758,0.0202369586,0.0167919915,0.0157118583,0.0143692812,0.0123889241,0.013462865,0.0095544307,0.011362996,0.0142186427,0.0137817724,0.0129345585,0.0120742215,0.0139707565,0.0138832081,0.0144936625,0.01288461,0.0138406113,0.0128665773,0.0113521494,0.0130791534,0.0178809406,0.0163192783,0.0134830236,0.0138072565,0.0096803511,0.0162753247
371,0.012182823,0.0126440028,0.0127280282,0.0137793079,0.0132088915,0.0114950979,0.011145312,0.0112844866,0.0136633117,0.0129827799,0.0123417176,0.0127214728,0.0116750199,0.0115065353,0.0121939616,0.0106769964,0.0105379045,0.0092865137,0.0175201043,0.0136572612,0.012977753,0.0131344547,0.0136574863,0.0134356562,0.0129682453,0.0160229791,0.0134162221,0.013208406,0.0152059913,0.0182031553,0.0162219962,0.0155796656,0.0158282915,0.0200422416,0.016655563,0.0156404609,0.0142967531,0.0121883756,0.0132601427,0.0092826601,0.0112162339,0.0143069558,0.0139114417,0.013072516,0.0122437976,0.014082328,0.0140086919,0.0146497713,0.0130184472,0.0140517311,0.0130138613,0.0114445042,0.0131455073,0.0180081347,0.0165349806,0.0136851549,0.0139937356,0.0095324231,0.0160484694
