Wavelength,Black rubber,Window glass,Slate sonte,White marble,Fiberglass,Rubberized coating
0.480000,6.060000,11.710000,16.459999,71.940002,60.080002,45.119999
0.482000,6.060000,11.710000,16.480000,72.160004,60.279999,45.290001
0.484000,6.060000,11.700000,16.500000,72.370003,60.480000,45.450001
0.486000,6.060000,11.690000,16.510000,72.570000,60.650002,45.619999
0.488000,6.060000,11.680000,16.530001,72.800003,60.830002,45.820000
0.490000,6.060000,11.670000,16.540001,73.040001,61.020000,46.020000
0.492000,6.070000,11.660000,16.549999,73.279999,61.200001,46.230000
0.494000,6.080000,11.650000,16.559999,73.519997,61.380001,46.459999
0.496000,6.090000,11.640000,16.570000,73.769997,61.549999,46.709999
0.498000,6.110000,11.630000,16.590000,74.010002,61.720001,46.939999
0.500000,6.120000,11.630000,16.620001,74.260002,61.900002,47.169998
0.502000,6.130000,11.620000,16.639999,74.500000,62.060001,47.389999
0.504000,6.130000,11.620000,16.660000,74.750000,62.230000,47.599998
0.506000,6.140000,11.610000,16.680000,75.000000,62.410000,47.810001
0.508000,6.150000,11.610000,16.700001,75.260002,62.590000,48.020000
0.510000,6.150000,11.600000,16.709999,75.500000,62.759998,48.209999
0.512000,6.160000,11.590000,16.719999,75.720001,62.919998,48.389999
0.514000,6.160000,11.580000,16.740000,75.959999,63.090000,48.580002
0.516000,6.160000,11.570000,16.740000,76.180000,63.250000,48.779999
0.518000,6.170000,11.560000,16.750000,76.400002,63.410000,48.959999
0.520000,6.180000,11.550000,16.760000,76.620003,63.560001,49.130001
0.522000,6.180000,11.540000,16.770000,76.830002,63.730000,49.310001
0.524000,6.180000,11.530000,16.780001,77.040001,63.869999,49.490002
0.526000,6.190000,11.520000,16.780001,77.239998,64.019997,49.669998
0.528000,6.190000,11.510000,16.790001,77.430000,64.169998,49.849998
0.530000,6.200000,11.500000,16.790001,77.610001,64.309998,50.009998
0.532000,6.200000,11.490000,16.809999,77.800003,64.449997,50.180000
0.534000,6.210000,11.480000,16.820000,77.970001,64.599998,50.349998
0.536000,6.210000,11.470000,16.830000,78.139999,64.739998,50.520000
0.538000,6.210000,11.460000,16.840000,78.309998,64.870003,50.680000
0.540000,6.220000,11.440000,16.850000,78.470001,65.000000,50.830002
0.542000,6.220000,11.430000,16.860001,78.629997,65.129997,50.990002
0.544000,6.220000,11.420000,16.879999,78.779999,65.269997,51.139999
0.546000,6.230000,11.410000,16.900000,78.919998,65.389999,51.290001
0.548000,6.230000,11.400000,16.920000,79.070000,65.519997,51.450001
0.550000,6.240000,11.390000,16.950001,79.209999,65.639999,51.599998
0.552000,6.240000,11.370000,16.969999,79.330002,65.750000,51.740002
0.554000,6.240000,11.360000,17.000000,79.449997,65.860001,51.889999
0.556000,6.250000,11.340000,17.030001,79.559998,65.980003,52.020000
0.558000,6.250000,11.330000,17.070000,79.690002,66.110001,52.160000
0.560000,6.250000,11.320000,17.100000,79.809998,66.220001,52.279999
0.562000,6.260000,11.300000,17.129999,79.900002,66.320000,52.389999
0.564000,6.260000,11.290000,17.160000,79.989998,66.430000,52.509998
0.566000,6.260000,11.270000,17.209999,80.080002,66.529999,52.639999
0.568000,6.260000,11.260000,17.260000,80.160004,66.629997,52.759998
0.570000,6.270000,11.240000,17.320000,80.239998,66.730003,52.880001
0.572000,6.270000,11.220000,17.379999,80.330002,66.830002,53.009998
0.574000,6.270000,11.210000,17.440001,80.410004,66.930000,53.110001
0.576000,6.270000,11.190000,17.500000,80.480003,67.029999,53.220001
0.578000,6.270000,11.170000,17.549999,80.540001,67.089996,53.320000
0.580000,6.280000,11.150000,17.610001,80.610001,67.180000,53.419998
0.582000,6.280000,11.130000,17.670000,80.669998,67.269997,53.509998
0.584000,6.280000,11.120000,17.719999,80.730003,67.349998,53.619999
0.586000,6.280000,11.100000,17.780001,80.779999,67.430000,53.700001
0.588000,6.280000,11.080000,17.820000,80.830002,67.510002,53.799999
0.590000,6.280000,11.070000,17.870001,80.879997,67.580002,53.880001
0.592000,6.290000,11.050000,17.910000,80.919998,67.639999,53.959999
0.594000,6.290000,11.030000,17.950001,80.949997,67.699997,54.040001
0.596000,6.290000,11.010000,17.980000,81.000000,67.769997,54.130001
0.598000,6.290000,11.000000,18.010000,81.059998,67.849998,54.200001
0.600000,6.290000,10.980000,18.030001,81.089996,67.910004,54.270000
0.602000,6.290000,10.960000,18.059999,81.129997,67.989998,54.340000
0.604000,6.290000,10.940000,18.080000,81.169998,68.050003,54.430000
0.606000,6.290000,10.920000,18.100000,81.199997,68.099998,54.500000
0.608000,6.290000,10.900000,18.110001,81.239998,68.180000,54.560001
0.610000,6.290000,10.880000,18.120001,81.269997,68.239998,54.630001
0.612000,6.290000,10.860000,18.129999,81.300003,68.290001,54.700001
0.614000,6.300000,10.840000,18.139999,81.339996,68.349998,54.759998
0.616000,6.290000,10.820000,18.139999,81.370003,68.410004,54.820000
0.618000,6.300000,10.800000,18.150000,81.400002,68.470001,54.889999
0.620000,6.300000,10.780000,18.150000,81.430000,68.529999,54.959999
0.622000,6.300000,10.760000,18.150000,81.470001,68.589996,55.029999
0.624000,6.300000,10.740000,18.150000,81.510002,68.639999,55.090000
0.626000,6.300000,10.720000,18.150000,81.540001,68.680000,55.139999
0.628000,6.300000,10.700000,18.150000,81.580002,68.739998,55.209999
0.630000,6.300000,10.680000,18.150000,81.610001,68.800003,55.270000
0.632000,6.300000,10.650000,18.139999,81.660004,68.860001,55.330002
0.634000,6.300000,10.640000,18.150000,81.720001,68.919998,55.389999
0.636000,6.300000,10.610000,18.139999,81.750000,68.980003,55.450001
0.638000,6.310000,10.590000,18.139999,81.790001,69.029999,55.509998
0.640000,6.300000,10.570000,18.139999,81.830002,69.089996,55.570000
0.642000,6.310000,10.550000,18.129999,81.860001,69.129997,55.630001
0.644000,6.300000,10.530000,18.129999,81.879997,69.169998,55.680000
0.646000,6.310000,10.510000,18.129999,81.930000,69.230003,55.740002
0.648000,6.310000,10.490000,18.129999,81.980003,69.290001,55.799999
0.650000,6.310000,10.470000,18.129999,82.029999,69.349998,55.869999
0.652000,6.310000,10.450000,18.129999,82.070000,69.389999,55.919998
0.654000,6.310000,10.430000,18.129999,82.110001,69.440002,55.980000
0.656000,6.310000,10.410000,18.129999,82.160004,69.489998,56.040001
0.658000,6.310000,10.390000,18.129999,82.209999,69.550003,56.090000
0.660000,6.310000,10.370000,18.129999,82.250000,69.610001,56.150002
0.662000,6.310000,10.350000,18.139999,82.279999,69.660004,56.209999
0.664000,6.310000,10.330000,18.139999,82.339996,69.699997,56.279999
0.666000,6.320000,10.310000,18.150000,82.400002,69.760002,56.330002
0.668000,6.320000,10.290000,18.150000,82.440002,69.790001,56.369999
0.670000,6.320000,10.270000,18.160000,82.480003,69.839996,56.410000
0.672000,6.320000,10.250000,18.160000,82.529999,69.900002,56.470001
0.674000,6.320000,10.230000,18.170000,82.599998,69.959999,56.549999
0.676000,6.320000,10.210000,18.180000,82.639999,70.000000,56.610001
0.678000,6.320000,10.180000,18.190001,82.669998,70.050003,56.650002
0.680000,6.320000,10.160000,18.209999,82.699997,70.099998,56.680000
0.682000,6.320000,10.140000,18.209999,82.720001,70.139999,56.750000
0.684000,6.320000,10.110000,18.219999,82.739998,70.180000,56.799999
0.686000,6.330000,10.090000,18.240000,82.779999,70.220001,56.840000
0.688000,6.320000,10.070000,18.250000,82.800003,70.250000,56.889999
0.690000,6.330000,10.040000,18.299999,82.849998,70.320000,56.959999
0.692000,6.330000,10.020000,18.320000,82.889999,70.360001,57.000000
0.694000,6.330000,10.000000,18.340000,82.930000,70.410004,57.049999
0.696000,6.330000,9.980000,18.360001,82.959999,70.459999,57.110001
0.698000,6.330000,9.960000,18.379999,83.019997,70.529999,57.180000
0.700000,6.330000,9.940000,18.400000,83.050003,70.570000,57.220001
0.702000,6.330000,9.910000,18.430000,83.099998,70.620003,57.279999
0.704000,6.330000,9.900000,18.450001,83.139999,70.660004,57.330002
0.706000,6.330000,9.870000,18.480000,83.150002,70.690002,57.360001
0.708000,6.330000,9.850000,18.500000,83.199997,70.739998,57.419998
0.710000,6.340000,9.820000,18.530001,83.250000,70.790001,57.470001
0.712000,6.340000,9.800000,18.559999,83.290001,70.830002,57.520000
0.714000,6.340000,9.780000,18.590000,83.309998,70.870003,57.570000
0.716000,6.340000,9.760000,18.620001,83.349998,70.919998,57.610001
0.718000,6.340000,9.730000,18.650000,83.379997,70.970001,57.660000
0.720000,6.340000,9.710000,18.670000,83.400002,70.989998,57.700001
0.722000,6.340000,9.690000,18.709999,83.440002,71.029999,57.750000
0.724000,6.340000,9.660000,18.740000,83.480003,71.099998,57.820000
0.726000,6.340000,9.650000,18.780001,83.510002,71.150002,57.860001
0.728000,6.340000,9.620000,18.799999,83.529999,71.160004,57.880001
0.730000,6.340000,9.600000,18.840000,83.559998,71.199997,57.939999
0.732000,6.350000,9.580000,18.879999,83.599998,71.250000,57.990002
0.734000,6.350000,9.560000,18.910000,83.629997,71.300003,58.040001
0.736000,6.350000,9.530000,18.950001,83.660004,71.330002,58.070000
0.738000,6.350000,9.510000,18.980000,83.680000,71.379997,58.099998
0.740000,6.350000,9.490000,19.010000,83.699997,71.400002,58.130001
0.742000,6.350000,9.470000,19.040001,83.730003,71.430000,58.180000
0.744000,6.350000,9.450000,19.080000,83.769997,71.500000,58.240002
0.746000,6.350000,9.430000,19.110001,83.800003,71.540001,58.279999
0.748000,6.350000,9.410000,19.139999,83.809998,71.559998,58.310001
0.750000,6.350000,9.380000,19.170000,83.830002,71.589996,58.330002
0.752000,6.360000,9.360000,19.200001,83.870003,71.629997,58.380001
0.754000,6.360000,9.340000,19.230000,83.879997,71.650002,58.410000
0.756000,6.360000,9.320000,19.260000,83.919998,71.650002,58.459999
0.758000,6.360000,9.300000,19.280001,83.959999,71.709999,58.500000
0.760000,6.360000,9.280000,19.309999,83.959999,71.739998,58.540001
0.762000,6.360000,9.250000,19.340000,83.970001,71.760002,58.580002
0.764000,6.360000,9.240000,19.360001,83.989998,71.790001,58.619999
0.766000,6.360000,9.210000,19.379999,84.019997,71.830002,58.669998
0.768000,6.360000,9.190000,19.400000,84.040001,71.889999,58.709999
0.770000,6.360000,9.180000,19.420000,84.070000,71.930000,58.750000
0.772000,6.360000,9.150000,19.440001,84.099998,71.980003,58.810001
0.774000,6.360000,9.130000,19.459999,84.110001,72.019997,58.840000
0.776000,6.370000,9.120000,19.480000,84.160004,72.080002,58.880001
0.778000,6.370000,9.100000,19.500000,84.180000,72.139999,58.959999
0.780000,6.370000,9.080000,19.500000,84.190002,72.139999,59.000000
0.782000,6.360000,9.060000,19.520000,84.190002,72.160004,59.040001
0.784000,6.370000,9.040000,19.530001,84.209999,72.199997,59.080002
0.786000,6.370000,9.010000,19.540001,84.220001,72.230003,59.099998
0.788000,6.370000,9.000000,19.540001,84.250000,72.250000,59.150002
0.790000,6.370000,8.980000,19.540001,84.290001,72.290001,59.189999
0.792000,6.370000,8.970000,19.549999,84.290001,72.309998,59.220001
0.794000,6.370000,8.950000,19.540001,84.309998,72.330002,59.240002
0.796000,6.380000,8.940000,19.549999,84.309998,72.379997,59.290001
0.798000,6.370000,8.920000,19.549999,84.339996,72.430000,59.320000
0.800000,6.370000,8.900000,19.540001,84.339996,72.459999,59.340000
0.820000,6.370000,8.730000,19.389999,84.470001,72.660004,59.619999
0.840000,6.370000,8.590000,19.150000,84.550003,72.910004,59.930000
0.860000,6.380000,8.460000,18.950001,84.660004,73.169998,60.230000
0.880000,6.640000,8.420000,18.959999,84.239998,73.419998,60.060001
0.900000,6.750000,8.400000,18.920000,83.970001,73.480003,59.950001
0.920000,6.650000,8.190000,18.990000,83.779999,73.349998,59.759998
0.940000,6.450000,7.860000,18.730000,83.650002,73.430000,59.970001
0.960000,6.380000,7.730000,18.760000,83.889999,73.900002,60.619999
0.980000,6.380000,7.720000,19.020000,84.070000,74.180000,61.049999
1.000000,6.410000,7.690000,19.080000,84.250000,74.360001,61.340000
1.020000,6.430000,7.660000,19.040001,84.410004,74.389999,61.580002
1.040000,6.430000,7.640000,18.959999,84.540001,74.480003,61.759998
1.060000,6.450000,7.640000,18.799999,84.739998,74.709999,62.130001
1.080000,6.440000,7.650000,18.549999,84.970001,74.959999,62.549999
1.100000,6.440000,7.640000,18.400000,85.220001,75.190002,62.790001
1.120000,6.440000,7.640000,18.250000,85.459999,75.349998,63.029999
1.140000,6.430000,7.640000,18.139999,85.589996,75.029999,62.930000
1.160000,6.430000,7.650000,17.990000,85.629997,73.690002,62.080002
1.180000,6.470000,7.690000,18.020000,85.690002,71.589996,60.669998
1.200000,6.450000,7.690000,17.879999,85.839996,69.029999,58.860001
1.220000,6.460000,7.710000,17.870001,86.320000,69.459999,59.230000
1.240000,6.440000,7.740000,17.840000,86.779999,73.050003,62.060001
1.260000,6.410000,7.770000,17.860001,87.059998,74.519997,63.270000
1.280000,6.420000,7.820000,17.840000,87.230003,74.989998,63.810001
1.300000,6.430000,7.860000,17.830000,87.339996,75.230003,64.029999
1.320000,6.430000,7.910000,17.760000,87.309998,75.290001,64.269997
1.340000,6.410000,7.980000,17.740000,87.099998,75.150002,64.230003
1.360000,6.380000,7.980000,17.690001,86.790001,74.209999,63.450001
1.380000,6.390000,8.050000,17.610001,85.889999,70.870003,60.910000
1.400000,6.380000,8.110000,17.240000,83.279999,68.080002,58.720001
1.420000,6.390000,8.180000,17.170000,81.250000,66.860001,57.720001
1.440000,6.370000,8.280000,17.480000,80.790001,67.120003,57.990002
1.460000,6.390000,8.350000,17.440001,80.660004,68.099998,58.709999
1.480000,6.390000,8.460000,17.450001,81.570000,68.970001,59.480000
1.500000,6.390000,8.510000,17.400000,83.239998,69.839996,60.290001
1.520000,6.360000,8.580000,17.330000,84.379997,70.339996,60.830002
1.540000,6.350000,8.650000,17.330000,84.830002,70.639999,61.180000
1.560000,6.390000,8.710000,17.270000,84.330002,71.019997,61.580002
1.580000,6.390000,8.760000,17.240000,85.669998,71.169998,61.810001
1.600000,6.400000,8.790000,17.209999,86.639999,71.190002,61.880001
1.620000,6.380000,8.790000,17.209999,86.400002,70.989998,61.900002
1.640000,6.370000,8.820000,17.240000,85.510002,70.470001,61.520000
1.660000,6.390000,8.860000,17.260000,85.339996,69.410004,60.779999
1.680000,6.360000,8.830000,17.180000,84.559998,66.730003,58.720001
1.700000,6.390000,8.890000,17.219999,81.449997,58.009998,51.830002
1.720000,6.380000,8.900000,17.219999,78.480003,48.570000,44.000000
1.740000,6.380000,8.880000,17.200001,77.160004,49.150002,44.500000
1.760000,6.340000,8.850000,17.160000,77.900002,50.740002,45.900002
1.780000,6.350000,8.850000,17.200001,82.349998,54.070000,48.669998
1.800000,6.340000,8.860000,17.180000,81.519997,55.000000,49.520000
1.820000,6.340000,8.810000,17.129999,76.779999,55.400002,49.759998
1.840000,6.350000,8.760000,17.120001,68.510002,56.270000,50.369999
1.860000,6.320000,8.680000,17.070000,59.259998,57.270000,51.200001
1.880000,6.300000,8.690000,17.049999,53.880001,57.029999,50.810001
1.900000,6.250000,8.690000,16.980000,62.790001,54.630001,48.310001
1.920000,6.250000,8.680000,16.940001,61.660000,51.240002,45.110001
1.940000,6.240000,8.660000,16.940001,59.439999,49.369999,43.480000
1.960000,6.300000,8.700000,16.990000,55.090000,48.950001,43.180000
1.980000,6.270000,8.680000,17.040001,50.740002,49.380001,43.619999
2.000000,6.310000,8.700000,17.040001,48.570000,50.040001,44.320000
2.020000,6.290000,8.630000,17.110001,63.279999,51.070000,45.250000
2.040000,6.290000,8.670000,17.090000,72.279999,51.950001,46.029999
2.060000,6.270000,8.590000,17.129999,75.099998,52.630001,46.610001
2.080000,6.230000,8.590000,17.240000,74.360001,53.310001,47.240002
2.100000,6.260000,8.620000,17.240000,70.129997,53.930000,47.610001
2.120000,6.250000,8.620000,17.309999,63.810001,54.080002,47.919998
2.140000,6.240000,8.650000,17.280001,53.900002,53.849998,47.680000
2.160000,6.290000,8.600000,17.219999,47.560001,53.250000,47.380001
2.180000,6.280000,8.580000,16.809999,52.980000,52.599998,47.000000
2.200000,6.260000,8.440000,16.370001,52.889999,51.279999,46.080002
2.220000,6.280000,8.470000,16.660000,45.369999,49.009998,44.299999
2.240000,6.230000,8.450000,16.799999,35.290001,45.310001,41.200001
2.260000,6.594320,8.457500,16.375040,25.643200,40.366840,36.455898
2.280000,6.445520,7.810700,16.564100,17.915001,31.378860,28.723320
